STATE NAME,DISTRICT NAME,TOTAL POPULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,AREA
KARNATAKA,KOLAR,1540231.0,11.04,976.0,74.33,3979.0
MIZORAM,KOLASIB,83054.0,25.92,956.0,94.54,1382.0
MAHARASHTRA,KOLHAPUR,3874015.0,9.96,953.0,82.9,7685.0
WEST BENGAL,KOLKATA,4486679.0,-1.88,899.0,87.14,185.0
KERALA,KOLLAM,2629703.0,1.72,1113.0,93.77,2483.0
CHHATTISGARH,KONDAGAON,,,,,0.0
KARNATAKA,KOPPAL,1391292.0,16.32,983.0,67.28,5570.0
ODISHA,KORAPUT,1376934.0,16.63,1031.0,49.87,8807.0
CHHATTISGARH,KORBA,1206563.0,19.25,971.0,73.22,6598.0
CHHATTISGARH,KORIYA,659039.0,12.4,971.0,71.41,6604.0
RAJASTHAN,KOTA,1950491.0,24.35,906.0,77.48,5217.0
KERALA,KOTTAYAM,1979384.0,1.32,1040.0,96.4,2206.0
KERALA,KOZHIKODE,3089543.0,7.31,1097.0,95.24,2345.0
ARUNACHAL PRADESH,KRA DAADI,,,,,
ANDHRA PRADESH,KRISHNA,4529009.0,8.15,997.0,74.37,8727.0
TAMIL NADU,KRISHNAGIRI,1883731.0,20.67,956.0,72.41,5129.0
JAMMU AND KASHMIR,KULGAM,422786.0,7.3,951.0,60.35,410.0
HIMACHAL PRADESH,KULLU,437474.0,14.65,950.0,80.14,5503.0
JAMMU AND KASHMIR,KUPWARA,875564.0,34.62,843.0,66.92,2379.0
ANDHRA PRADESH,KURNOOL,4046601.0,14.65,984.0,61.13,17658.0
HARYANA,KURUKSHETRA,964231.0,16.81,889.0,76.7,1530.0
ARUNACHAL PRADESH,KURUNG KUMEY,89717.0,111.01,1029.0,50.67,6040.0
UTTAR PRADESH,KUSHINAGAR,3560830.0,23.08,955.0,67.66,2905.0
GUJARAT,KUTCH,2090313.0,32.03,907.0,71.58,45674.0
HIMACHAL PRADESH,LAHAUL AND SPITI,31528.0,-5.1,916.0,77.24,13841.0
ASSAM,LAKHIMPUR,1040644.0,17.06,965.0,78.39,2277.0
UTTAR PRADESH,LAKHIMPUR KHERI,4013634.0,25.14,887.0,62.71,7680.0
BIHAR,LAKHISARAI,1000717.0,24.74,900.0,64.95,1228.0
LAKSHADWEEP,LAKSHADWEEP,64429.0,6.23,946.0,92.28,30.0
UTTAR PRADESH,LALITPUR,1218002.0,24.57,905.0,64.95,5039.0
JHARKHAND,LATEHAR,725673.0,29.38,964.0,61.23,4291.0
MAHARASHTRA,LATUR,2455543.0,18.04,924.0,79.03,7157.0
MIZORAM,LAWNGTLAI,117444.0,59.53,945.0,66.41,2557.0
JAMMU AND KASHMIR,LEH,147104.0,25.48,583.0,80.48,45110.0
JHARKHAND,LOHARDAGA,461738.0,26.67,985.0,68.29,1502.0
ARUNACHAL PRADESH,LOHIT,145538.0,16.44,901.0,69.88,5212.0
ARUNACHAL PRADESH,LONGDING,,,,,
NAGALAND,LONGLENG,74033.0,-30.54,961.0,71.1,562.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,82839.0,48.65,975.0,76.33,3508.0
UTTAR PRADESH,LUCKNOW,4588455.0,25.79,906.0,79.33,2528.0
PUNJAB,LUDHIANA,3487882.0,15.0,869.0,82.54,3578.0
MIZORAM,LUNGLEI,154094.0,12.29,944.0,89.4,4536.0
BIHAR,MADHEPURA,1994618.0,30.65,914.0,53.78,1788.0
BIHAR,MADHUBANI,4476044.0,25.19,925.0,60.9,3501.0
TAMIL NADU,MADURAI,3041038.0,17.95,990.0,81.66,3710.0
TELANGANA,MAHABUBNAGAR,4042191.0,15.03,975.0,56.06,18432.0
UTTAR PRADESH,MAHARAJGANJ,2665292.0,22.61,938.0,64.3,2952.0
CHHATTISGARH,MAHASAMUND,1032275.0,20.0,1018.0,71.54,4790.0
PUDUCHERRY,MAHE,41934.0,13.86,1176.0,98.35,9.0
HARYANA,MAHENDRAGARH,921680.0,13.43,894.0,78.87,1899.0
GUJARAT,MAHISAGAR,,,,,
UTTAR PRADESH,MAHOBA,876055.0,23.66,880.0,66.94,3144.0
UTTAR PRADESH,MAINPURI,1847194.0,15.69,876.0,78.26,2760.0
KERALA,MALAPPURAM,4110956.0,13.39,1096.0,93.55,3554.0
WEST BENGAL,MALDA,3997970.0,21.5,939.0,62.71,3733.0
ODISHA,MALKANGIRI,612727.0,21.53,1016.0,49.49,5791.0
MIZORAM,MAMIT,85757.0,36.59,924.0,85.96,3025.0
HIMACHAL PRADESH,MANDI,999518.0,10.89,1012.0,82.81,3950.0
MADHYA PRADESH,MANDLA,1053522.0,17.81,1005.0,68.28,5800.0
MADHYA PRADESH,MANDSAUR,1339832.0,13.19,966.0,72.75,5535.0
KARNATAKA,MANDYA,1808680.0,2.55,989.0,70.14,4962.0
PUNJAB,MANSA,768808.0,11.62,880.0,62.78,2198.0
UTTAR PRADESH,MATHURA,2541894.0,22.53,858.0,72.65,3340.0
UTTAR PRADESH,MAU,2205170.0,18.94,978.0,75.16,1713.0
ODISHA,MAYURBHANJ,2513895.0,13.06,1005.0,63.98,10418.0
TELANGANA,MEDAK,3031877.0,13.55,989.0,62.53,9699.0
UTTAR PRADESH,MEERUT,3447405.0,15.01,885.0,74.8,2559.0
GUJARAT,MEHSANA,2027727.0,9.91,925.0,84.26,4401.0
UTTAR PRADESH,MIRZAPUR,2494533.0,17.89,900.0,70.38,4405.0
PUNJAB,MOGA,992289.0,10.9,893.0,71.59,2242.0
NAGALAND,MOKOKCHUNG,193171.0,-16.77,927.0,92.68,1615.0
NAGALAND,MON,250671.0,-3.83,898.0,56.6,1786.0
UTTAR PRADESH,MORADABAD,4773138.0,25.25,903.0,58.67,3718.0
GUJARAT,MORBI,,,,,
MADHYA PRADESH,MORENA,1965137.0,23.38,839.0,72.07,4989.0
ASSAM,MORIGAON,957853.0,23.39,974.0,69.37,1551.0
MAHARASHTRA,MUMBAI,12478447.0,,847.5,89.69,603.0
CHHATTISGARH,MUNGELI,,,,,0.0
BIHAR,MUNGER,1359054.0,19.45,879.0,73.3,1419.0
WEST BENGAL,MURSHIDABAD,7102430.0,21.07,957.0,67.53,5324.0
UTTAR PRADESH,MUZAFFARNAGAR,4138605.0,16.8,886.0,70.11,4008.0
BIHAR,MUZAFFARPUR,4778610.0,27.54,898.0,65.68,3172.0
KARNATAKA,MYSURU,2994744.0,13.39,982.0,72.56,6307.0
ODISHA,NABARANGAPUR,1218762.0,18.81,1018.0,48.2,5291.0
WEST BENGAL,NADIA,5168488.0,12.24,947.0,75.58,3927.0
ASSAM,NAGAON,2826006.0,22.09,962.0,73.78,3973.0
TAMIL NADU,NAGAPATTINAM,1614069.0,8.41,1025.0,84.09,2569.0
RAJASTHAN,NAGAUR,3309234.0,19.25,948.0,64.08,17718.0
MAHARASHTRA,NAGPUR,4653171.0,14.39,948.0,89.52,9892.0
UTTARAKHAND,NAINITAL,955128.0,25.2,933.0,84.85,4251.0
BIHAR,NALANDA,2872523.0,21.18,921.0,66.41,2355.0
ASSAM,NALBARI,769919.0,11.74,945.0,79.89,1052.0
TELANGANA,NALGONDA,3483648.0,7.26,982.0,65.05,14240.0
TAMIL NADU,NAMAKKAL,1721179.0,15.25,986.0,74.92,3420.0
ARUNACHAL PRADESH,NAMSAI,,,,,
MAHARASHTRA,NANDED,3356566.0,16.7,937.0,76.94,10528.0
MAHARASHTRA,NANDURBAR,1646177.0,25.5,972.0,63.04,5955.0
CHHATTISGARH,NARAYANPUR,,,,,4653.0
GUJARAT,NARMADA,590379.0,14.77,960.0,73.29,2817.0
MADHYA PRADESH,NARSINGHPUR,1092141.0,14.04,917.0,76.79,5133.0
MAHARASHTRA,NASHIK,6109052.0,22.33,931.0,80.96,15530.0
GUJARAT,NAVSARI,1330711.0,8.24,961.0,84.78,2246.0
BIHAR,NAWADA,2216653.0,22.49,936.0,61.63,2494.0
ODISHA,NAYAGARH,962215.0,11.3,916.0,79.17,3890.0
MADHYA PRADESH,NEEMUCH,825958.0,13.76,959.0,71.81,4256.0
TAMIL NADU,NILGIRIS,735071.0,-3.55,1041.0,85.65,2565.0
TELANGANA,NIZAMABAD,2552073.0,8.8,1038.0,62.25,7956.0
WEST BENGAL,NORTH 24 PARGANAS,10082852.0,12.86,949.0,84.95,4094.0
MEGHALAYA,NORTH GARO HILLS,,,,,
SIKKIM,NORTH SIKKIM,43354.0,5.66,769.0,77.39,4226.0
TRIPURA,NORTH TRIPURA,693281.0,17.32,967.0,88.29,2036.0
ODISHA,NUAPADA,606490.0,14.28,1020.0,58.2,3852.0
HARYANA,NUH,1089406.0,37.94,906.0,56.14,1507.0
MAHARASHTRA,OSMANABAD,1660311.0,11.69,920.0,76.33,7569.0
JHARKHAND,PAKUR,899200.0,28.15,985.0,50.17,1811.0
KERALA,PALAKKAD,2810892.0,7.39,1067.0,88.49,4482.0
JHARKHAND,PALAMU,1936319.0,25.94,929.0,65.5,4393.0
MAHARASHTRA,PALGHAR,,,,,
RAJASTHAN,PALI,2038533.0,11.99,987.0,63.23,12387.0
HARYANA,PALWAL,1040493.0,25.49,879.0,70.32,1359.0
HARYANA,PANCHKULA,558890.0,19.32,870.0,83.44,898.0
GUJARAT,PANCHMAHAL,2388267.0,17.92,945.0,72.32,5231.0
HARYANA,PANIPAT,1202811.0,24.33,861.0,77.46,1268.0
MADHYA PRADESH,PANNA,1016028.0,18.62,907.0,66.08,7135.0
ARUNACHAL PRADESH,PAPUM PARE,176385.0,44.57,950.0,82.14,3462.0
MAHARASHTRA,PARBHANI,1835982.0,20.18,940.0,75.22,6214.0
WEST BENGAL,PASCHIM MEDINIPUR,5943300.0,14.44,960.0,79.04,9368.0
GUJARAT,PATAN,1342746.0,13.53,935.0,73.47,5792.0
KERALA,PATHANAMTHITTA,1195537.0,-3.12,1129.0,96.93,2652.0
PUNJAB,PATHANKOT,,,,,0.0
PUNJAB,PATIALA,1892282.0,19.4,888.0,76.26,3325.0
BIHAR,PATNA,5772804.0,22.34,892.0,72.47,3202.0
UTTARAKHAND,PAURI GARHWAL,686527.0,-1.51,1103.0,82.59,5329.0
TAMIL NADU,PERAMBALUR,564511.0,14.36,1006.0,74.68,1756.0
NAGALAND,PEREN,94954.0,4.61,917.0,79.0,1651.0
NAGALAND,PHEK,163294.0,10.19,951.0,79.13,2026.0
UTTAR PRADESH,PILIBHIT,2037225.0,23.83,889.0,63.58,3686.0
UTTARAKHAND,PITHORAGARH,485993.0,5.13,1021.0,82.93,7090.0
GUJARAT,PORBANDAR,586062.0,9.17,947.0,76.63,2316.0
ANDHRA PRADESH,PRAKASAM,3392764.0,10.9,981.0,63.53,17626.0
UTTAR PRADESH,PRATAPGARH,3173752.0,16.2,994.0,73.1,3717.0
RAJASTHAN,PRATAPGARH,868231.0,22.84,982.0,56.3,4449.0
UTTAR PRADESH,PRAYAGRAJ,5959798.0,20.74,902.0,74.41,5482.0
PUDUCHERRY,PUDUCHERRY,946600.0,28.73,1031.0,86.13,294.0
TAMIL NADU,PUDUKKOTTAI,1618725.0,10.9,1015.0,77.76,4644.0
JAMMU AND KASHMIR,PULWAMA,570060.0,29.18,913.0,65.0,1086.0
JAMMU AND KASHMIR,PUNCH,476820.0,27.97,890.0,68.69,1674.0
MAHARASHTRA,PUNE,9426959.0,30.34,910.0,87.19,15643.0
WEST BENGAL,PURBA MEDINIPUR,5094238.0,15.32,936.0,87.66,4713.0
ODISHA,PURI,1697983.0,13.0,963.0,85.37,3479.0
BIHAR,PURNIA,3273127.0,28.66,930.0,52.49,3229.0
WEST BENGAL,PURULIYA,2927965.0,15.43,955.0,65.38,6259.0
UTTAR PRADESH,RAE BARELI,3404004.0,18.51,941.0,69.04,4609.0
KARNATAKA,RAICHUR,1924773.0,15.27,992.0,60.46,8442.0
MAHARASHTRA,RAIGAD,2635394.0,19.36,955.0,83.89,7152.0
CHHATTISGARH,RAIGARH,1493627.0,18.02,993.0,73.7,7086.0
CHHATTISGARH,RAIPUR,4062160.0,34.65,983.0,76.43,12383.0
MADHYA PRADESH,RAISEN,1331699.0,18.36,899.0,74.26,8466.0
MADHYA PRADESH,RAJGARH,1546541.0,23.32,955.0,62.68,6153.0
GUJARAT,RAJKOT,3799770.0,19.87,924.0,82.2,11198.0
CHHATTISGARH,RAJNANDGAON,1537520.0,19.82,1017.0,76.97,8070.0
JAMMU AND KASHMIR,RAJOURI,619266.0,28.14,863.0,68.54,2630.0
RAJASTHAN,RAJSAMAND,1158283.0,17.35,988.0,63.93,4655.0
KARNATAKA,RAMANAGARA,1082739.0,5.06,976.0,69.2,3516.0
TAMIL NADU,RAMANATHAPURAM,1337560.0,12.63,977.0,81.48,4104.0
JAMMU AND KASHMIR,RAMBAN,283313.0,31.81,901.0,56.9,1329.0
JHARKHAND,RAMGARH,949159.0,13.06,921.0,73.92,1341.0
UTTAR PRADESH,RAMPUR,2335398.0,21.4,905.0,55.08,2367.0
JHARKHAND,RANCHI,2912022.0,23.9,950.0,77.13,5097.0
TELANGANA,RANGA REDDY,5296396.0,48.15,955.0,78.05,7493.0
MADHYA PRADESH,RATLAM,1454483.0,19.67,973.0,68.03,4861.0
MAHARASHTRA,RATNAGIRI,1612672.0,-4.96,1123.0,82.43,8208.0
ODISHA,RAYAGADA,961959.0,15.74,1048.0,50.88,7073.0
JAMMU AND KASHMIR,REASI,314714.0,27.06,891.0,59.42,1719.0
MADHYA PRADESH,REWA,2363744.0,19.79,930.0,73.42,6314.0
HARYANA,REWARI,896129.0,17.09,898.0,82.23,1594.0
MEGHALAYA,RIBHOI,258380.0,34.02,951.0,77.22,2448.0
HARYANA,ROHTAK,1058683.0,12.61,868.0,80.37,1745.0
BIHAR,ROHTAS,2962593.0,20.22,914.0,75.59,3881.0
UTTARAKHAND,RUDRAPRAYAG,236857.0,4.14,1120.0,82.09,1984.0
PUNJAB,RUPNAGAR,683349.0,8.67,913.0,83.28,1356.0
PUNJAB,S.A.S. NAGAR,986147.0,32.02,878.0,84.87,1094.0
ANDHRA PRADESH,S.P.S. NELLORE,2966082.0,11.15,986.0,69.15,13076.0
GUJARAT,SABARKANTHA,2427346.0,16.56,950.0,76.6,7394.0
MADHYA PRADESH,SAGAR,2378295.0,17.62,896.0,77.52,10252.0
UTTAR PRADESH,SAHARANPUR,3464228.0,19.59,887.0,72.03,3689.0
BIHAR,SAHARSA,1897102.0,25.79,906.0,54.57,1687.0
JHARKHAND,SAHIBGANJ,1150038.0,23.96,948.0,53.73,2063.0
MIZORAM,SAIHA,56366.0,-7.68,978.0,88.41,1399.0
TAMIL NADU,SALEM,3480008.0,15.37,954.0,73.23,5237.0
BIHAR,SAMASTIPUR,4254782.0,25.33,909.0,63.81,2904.0
JAMMU AND KASHMIR,SAMBA,318611.0,16.9,886.0,82.48,904.0
ODISHA,SAMBALPUR,,,,,6624.0
UTTAR PRADESH,SAMBHAL,,,,,0.0
MAHARASHTRA,SANGLI,2820575.0,9.18,964.0,82.62,8572.0
PUNJAB,SANGRUR,1654408.0,12.3,883.0,68.88,3625.0
UTTAR PRADESH,SANT KABIR NAGAR,1714300.0,20.71,969.0,69.01,1646.0
JHARKHAND,SARAIKELA-KHARSAWAN,1063458.0,25.28,958.0,68.85,2657.0
BIHAR,SARAN,3943098.0,21.37,949.0,68.57,2641.0
MAHARASHTRA,SATARA,3003922.0,6.94,986.0,84.2,10480.0
MADHYA PRADESH,SATNA,2228619.0,19.17,927.0,73.79,7502.0
RAJASTHAN,SAWAI MADHOPUR,1338114.0,19.79,894.0,66.19,4498.0
MADHYA PRADESH,SEHORE,1311008.0,21.51,918.0,71.11,6578.0
MANIPUR,SENAPATI,354972.0,25.16,939.0,75.0,3271.0
MADHYA PRADESH,SEONI,1378876.0,18.2,984.0,73.01,8758.0
MIZORAM,SERCHHIP,64875.0,20.45,976.0,98.76,1421.0
MADHYA PRADESH,SHAHDOL,1064989.0,17.27,968.0,68.36,6205.0
PUNJAB,SHAHID BHAGAT SINGH NAGAR,614362.0,4.58,954.0,80.33,1282.0
UTTAR PRADESH,SHAHJAHANPUR,3002376.0,17.84,865.0,61.61,4388.0
MADHYA PRADESH,SHAJAPUR,1512353.0,17.17,939.0,70.17,6195.0
UTTAR PRADESH,SHAMLI,,,,,0.0
BIHAR,SHEIKHPURA,634927.0,20.82,926.0,65.96,689.0
BIHAR,SHEOHAR,656916.0,27.32,890.0,56.0,349.0
MADHYA PRADESH,SHEOPUR,687952.0,22.96,902.0,58.02,6606.0
HIMACHAL PRADESH,SHIMLA,813384.0,12.58,916.0,84.55,5131.0
KARNATAKA,SHIVAMOGGA,1755512.0,6.88,995.0,80.5,8478.0
MADHYA PRADESH,SHIVPURI,1725818.0,22.74,877.0,63.73,10066.0
JAMMU AND KASHMIR,SHOPIYAN,265960.0,25.85,951.0,62.49,312.0
UTTAR PRADESH,SHRAWASTI,1114615.0,-5.25,875.0,49.13,1640.0
ARUNACHAL PRADESH,SIANG,,,,,
UTTAR PRADESH,SIDDHARTHNAGAR,2553526.0,25.17,970.0,61.81,2895.0
MADHYA PRADESH,SIDHI,1126515.0,23.66,952.0,66.09,4851.0
RAJASTHAN,SIKAR,2677737.0,17.04,944.0,72.98,7732.0
JHARKHAND,SIMDEGA,599813.0,16.62,1000.0,67.59,3774.0
MAHARASHTRA,SINDHUDURG,848868.0,-2.3,1037.0,86.54,5207.0
MADHYA PRADESH,SINGRAULI,1178132.0,28.03,916.0,62.36,5675.0
TRIPURA,SIPAHIJALA,,,,,0.0
HIMACHAL PRADESH,SIRMAUR,530164.0,15.61,915.0,79.98,2825.0
RAJASTHAN,SIROHI,1037185.0,21.86,938.0,56.02,5136.0
HARYANA,SIRSA,1295114.0,15.98,896.0,70.35,4277.0
BIHAR,SITAMARHI,3419622.0,27.47,899.0,53.53,2294.0
UTTAR PRADESH,SITAPUR,4474446.0,23.62,879.0,63.38,5743.0
TAMIL NADU,SIVAGANGA,1341250.0,16.09,1000.0,80.46,4233.0
ASSAM,SIVASAGAR,1150253.0,9.37,951.0,81.36,2668.0
BIHAR,SIWAN,3318176.0,22.25,984.0,71.59,2219.0
HIMACHAL PRADESH,SOLAN,576670.0,15.21,884.0,85.02,1936.0
MAHARASHTRA,SOLAPUR,4315527.0,12.1,932.0,77.72,14895.0
UTTAR PRADESH,SONBHADRA,1862612.0,27.27,913.0,66.18,6905.0
HARYANA,SONIPAT,1480080.0,15.71,853.0,80.83,2122.0
ASSAM,SONITPUR,1925975.0,15.67,946.0,69.96,5204.0
WEST BENGAL,SOUTH 24 PARGANAS,8153176.0,18.05,949.0,78.57,9960.0
MEGHALAYA,SOUTH GARO HILLS,142574.0,41.19,944.0,72.39,1887.0
SIKKIM,SOUTH SIKKIM,146742.0,11.57,914.0,82.06,750.0
TRIPURA,SOUTH TRIPURA,875144.0,14.03,957.0,85.41,3057.0
MEGHALAYA,SOUTH WEST GARO HILLS,,,,,
MEGHALAYA,SOUTH WEST KHASI HILLS,,,,,
PUNJAB,SRI MUKTSAR SAHIB,902702.0,16.1,895.0,66.79,2593.0
ANDHRA PRADESH,SRIKAKULAM,2699471.0,6.38,1014.0,62.3,5837.0
JAMMU AND KASHMIR,SRINAGAR,1269751.0,23.56,879.0,71.21,1979.0
ODISHA,SUBARNAPUR,652107.0,20.35,959.0,74.42,2337.0
CHHATTISGARH,SUKMA,,,,,0.0
UTTAR PRADESH,SULTANPUR,3790922.0,17.92,978.0,71.14,4436.0
ODISHA,SUNDARGARH,2080664.0,13.66,971.0,74.13,9712.0
BIHAR,SUPAUL,2228397.0,28.62,925.0,59.65,2425.0
CHHATTISGARH,SURAJPUR,,,,,0.0
GUJARAT,SURAT,6079231.0,42.19,788.0,86.65,4549.0
GUJARAT,SURENDRANAGAR,1755873.0,15.89,929.0,73.19,10423.0
CHHATTISGARH,SURGUJA,2361329.0,19.74,976.0,61.16,15732.0
MANIPUR,TAMENGLONG,140143.0,25.69,953.0,70.4,4391.0
GUJARAT,TAPI,806489.0,12.07,1004.0,69.23,3139.0
PUNJAB,TARN TARAN,1120070.0,19.28,898.0,69.43,2414.0
ARUNACHAL PRADESH,TAWANG,49950.0,28.33,701.0,60.61,2172.0
UTTARAKHAND,TEHRI GARHWAL,616409.0,1.93,1078.0,75.1,3642.0
MAHARASHTRA,THANE,11054131.0,35.94,880.0,86.18,9558.0
TAMIL NADU,THANJAVUR,2402781.0,8.42,1031.0,82.72,3411.0
TAMIL NADU,THENI,1243684.0,13.69,990.0,77.62,2868.0
TAMIL NADU,THIRUVALLUR,3725697.0,35.25,983.0,83.82,3394.0
KERALA,THIRUVANANTHAPURAM,3307284.0,2.25,1088.0,92.66,2189.0
TAMIL NADU,THIRUVARUR,1268094.0,8.43,1020.0,83.26,2274.0
TAMIL NADU,THOOTHUKKUDI,1738376.0,9.14,1024.0,86.52,4745.0
MANIPUR,THOUBAL,420517.0,15.48,1006.0,76.66,514.0
KERALA,THRISSUR,3110327.0,4.58,1109.0,95.32,3027.0
MADHYA PRADESH,TIKAMGARH,1444920.0,20.11,901.0,62.57,5048.0
ASSAM,TINSUKIA,1316948.0,14.51,948.0,70.92,3790.0
ARUNACHAL PRADESH,TIRAP,111997.0,11.63,931.0,52.23,2362.0
TAMIL NADU,TIRUCHIRAPPALLI,2713858.0,12.22,1013.0,83.56,4509.0
TAMIL NADU,TIRUNELVELI,3072880.0,13.66,1024.0,82.92,6693.0
TAMIL NADU,TIRUVANNAMALAI,2468965.0,12.94,993.0,74.72,6188.0
RAJASTHAN,TONK,1421711.0,17.33,949.0,62.46,7194.0
NAGALAND,TUENSANG,196801.0,5.81,930.0,73.7,2536.0
KARNATAKA,TUMAKURU,2681449.0,3.74,979.0,74.32,10597.0
RAJASTHAN,UDAIPUR,3067549.0,23.66,958.0,62.74,11724.0
ASSAM,UDALGURI,832769.0,9.76,966.0,66.6,2012.0
UTTARAKHAND,UDHAM SINGH NAGAR,1648367.0,33.4,919.0,74.44,2542.0
JAMMU AND KASHMIR,UDHAMPUR,555357.0,20.86,863.0,69.9,2637.0
KARNATAKA,UDUPI,1177908.0,5.9,1093.0,86.29,3582.0
MADHYA PRADESH,UJJAIN,1986597.0,16.11,954.0,73.55,6091.0
MANIPUR,UKHRUL,183115.0,30.07,948.0,81.87,4544.0
MADHYA PRADESH,UMARIA,643579.0,24.73,953.0,67.34,4076.0
HIMACHAL PRADESH,UNA,521057.0,16.24,977.0,87.23,1540.0
UTTAR PRADESH,UNNAO,3110595.0,15.19,901.0,68.29,4558.0
TRIPURA,UNOKOTI,,,,,0.0
ARUNACHAL PRADESH,UPPER SIANG,35289.0,5.77,891.0,59.94,6590.0
ARUNACHAL PRADESH,UPPER SUBANSIRI,83205.0,50.34,982.0,63.96,7032.0
CHHATTISGARH,UTTAR BASTAR KANKER,748593.0,15.0,1007.0,70.97,7161.0
WEST BENGAL,UTTAR DINAJPUR,3000849.0,22.9,936.0,60.13,3140.0
KARNATAKA,UTTARA KANNADA,1436847.0,6.15,975.0,84.03,10277.0
UTTARAKHAND,UTTARKASHI,329686.0,11.75,959.0,75.98,8016.0
GUJARAT,VADODARA,4157568.0,14.16,934.0,81.21,7546.0
BIHAR,VAISHALI,3495249.0,28.58,892.0,68.56,2036.0
GUJARAT,VALSAD,1703068.0,20.74,926.0,80.94,3008.0
UTTAR PRADESH,VARANASI,3682194.0,17.32,909.0,77.05,1535.0
TAMIL NADU,VELLORE,3928106.0,12.96,1004.0,79.65,6075.0
MADHYA PRADESH,VIDISHA,1458212.0,20.03,897.0,72.08,7371.0
TAMIL NADU,VILUPPURAM,3463284.0,16.99,985.0,72.08,7194.0
TAMIL NADU,VIRUDHUNAGAR,1943309.0,10.96,1009.0,80.75,4241.0
ANDHRA PRADESH,VISAKHAPATNAM,4288113.0,11.89,100.0,67.7,11161.0
ANDHRA PRADESH,VIZIANAGARAM,2342868.0,4.16,1016.0,59.49,6539.0
TELANGANA,WARANGAL,3522644.0,8.52,994.0,66.16,12846.0
MAHARASHTRA,WARDHA,1296157.0,4.8,946.0,87.22,6309.0
MAHARASHTRA,WASHIM,1196714.0,17.23,926.0,81.7,4898.0
KERALA,WAYANAD,816558.0,4.6,1035.0,89.32,2130.0
BIHAR,WEST CHAMPARAN,3922780.0,28.89,906.0,58.06,5228.0
MEGHALAYA,WEST GARO HILLS,642923.0,24.02,979.0,68.38,3677.0
ANDHRA PRADESH,WEST GODAVARI,3934782.0,3.45,1004.0,74.32,7742.0
ARUNACHAL PRADESH,WEST KAMENG,87013.0,16.64,755.0,69.4,7422.0
MEGHALAYA,WEST KHASI HILLS,385601.0,30.25,981.0,79.3,5247.0
ARUNACHAL PRADESH,WEST SIANG,112272.0,8.04,916.0,67.62,8325.0
SIKKIM,WEST SIKKIM,136299.0,10.58,941.0,78.69,1166.0
JHARKHAND,WEST SINGHBHUM,1501619.0,21.69,1004.0,59.54,7224.0
TRIPURA,WEST TRIPURA,1724619.0,12.5,964.0,88.91,2993.0
NAGALAND,WOKHA,166239.0,3.11,969.0,87.6,1628.0
ANDHRA PRADESH,Y.S.R. KADAPA,2884524.0,10.87,984.0,67.88,15359.0
KARNATAKA,YADGIR,1172985.0,22.67,984.0,52.36,5270.0
HARYANA,YAMUNANAGAR,1214162.0,16.56,877.0,78.93,1768.0
PONDICHERRY,YANAM,55616.0,77.15,1039.0,80.26,30.0
MAHARASHTRA,YAVATMAL,2775457.0,12.9,947.0,80.7,13582.0
NAGALAND,ZUNHEBOTO,141014.0,-8.79,981.0,86.26,1255.0
